Food,Category,SubCategory,Taste,Cravings,Healthiness
Babyleaf salad,Eat More Of,Vegetables,52.46,25.24,93.46
Mixed leaf salad,Eat More Of,Vegetables,53.38,25.6,93.95
Iceberg lettuce,Eat More Of,Vegetables,49.8,15.86,81.86
Lambs lettuce,Eat More Of,Vegetables,46.22,14.54,90.66
Little gem lettuce,Eat More Of,Vegetables,53.89,15.49,94.91
Rocket,Eat More Of,Vegetables,53.14,22.95,96.6
Romaine hearts,Eat More Of,Vegetables,47.19,16.07,91.5
Salad cress,Eat More Of,Vegetables,40.83,9.59,90.95
Asparagus,Eat More Of,Vegetables,46.1,11.88,89.02
Savoy cabbage,Eat More Of,Vegetables,50.26,7.42,89.74
White cabbage,Eat More Of,Vegetables,53.39,11.7,89.39
Carrot,Eat More Of,Vegetables,60.41,21.56,90.98
Cauliflower,Eat More Of,Vegetables,53.93,18.29,93.26
Celeriac,Eat More Of,Vegetables,26,5.66,80.98
Courgette,Eat More Of,Vegetables,38.79,13.05,86.86
Edamame beans,Eat More Of,Vegetables,49.45,10.62,92.5
Fennel,Eat More Of,Vegetables,29.7,5.8,90.34
Spring greens,Eat More Of,Vegetables,60.38,25.52,95.98
Green beans,Eat More Of,Vegetables,52.2,18.49,94.68
Aubergine,Eat More Of,Vegetables,41.48,6.5,88.26
Kale,Eat More Of,Vegetables,47.36,11.19,92.17
Leeks,Eat More Of,Vegetables,58.9,16.58,89.05
Mangetout,Eat More Of,Vegetables,59.79,11.17,91
Marrow,Eat More Of,Vegetables,25.36,2.95,87.43
Okra,Eat More Of,Vegetables,24.34,3.98,86.88
Red onion,Eat More Of,Vegetables,72.74,24.05,82.79
White onion,Eat More Of,Vegetables,53,16.4,77.96
Pak choi,Eat More Of,Vegetables,40.57,11.62,86.74
Parsnip,Eat More Of,Vegetables,52.64,9.56,81.67
Peas,Eat More Of,Vegetables,60.1,19.15,90.1
Baby corn,Eat More Of,Vegetables,53,12.55,85.02
Pumpkin,Eat More Of,Vegetables,31.88,4.77,82.26
Runner beans,Eat More Of,Vegetables,51.56,17.68,92.93
Samphire,Eat More Of,Vegetables,24.84,2.23,78.56
Spinach,Eat More Of,Vegetables,54.7,18.44,94.42
Shallots,Eat More Of,Vegetables,51.45,9.64,82.11
Sugar snaps,Eat More Of,Vegetables,63.64,16.67,89.27
Swede,Eat More Of,Vegetables,40.5,8.21,82.36
Sweet potato,Eat More Of,Vegetables,50.37,15.71,75.02
Sweetcorn,Eat More Of,Vegetables,63.27,18.34,85.85
Swiss chard,Eat More Of,Vegetables,33.38,5.24,93.76
Beansprouts,Eat More Of,Vegetables,37.37,11.44,83.24
Turnip,Eat More Of,Vegetables,30.9,5.61,86.56
Artichoke,Eat More Of,Vegetables,34.98,8.29,84.67
Chestnut mushroom,Eat More Of,Vegetables,59.86,17.47,83.4
Closed cup mushroom,Eat More Of,Vegetables,59.84,23.07,86.67
Flat mushroom,Eat More Of,Vegetables,63.95,25.9,85.33
Shiitake mushroom,Eat More Of,Vegetables,51.98,17.98,80.64
Black beans,Eat More Of,Vegetables,33.41,5.39,78.41
Black eyed beans,Eat More Of,Vegetables,32.63,6.4,73.67
Butter beans,Eat More Of,Vegetables,40.9,9.93,73.88
Cannellini beans,Eat More Of,Vegetables,39.4,9.69,74.98
Broad beans,Eat More Of,Vegetables,32.67,4.1,90.26
Kidney beans,Eat More Of,Vegetables,44.15,10.32,80.92
Chickpeas,Eat More Of,Vegetables,44.3,11.65,84.53
Green lentils,Eat More Of,Vegetables,32.95,7.12,85.58
Red lentils,Eat More Of,Vegetables,53.74,13.33,86.45
Broccoli,Eat More Of,Vegetables,60.33,24.43,93.22
Brussel sprouts,Eat More Of,Vegetables,43.07,10.05,88.17
Butternut squash,Eat More Of,Vegetables,47.57,12.76,79.14
Red cabbage,Eat More Of,Vegetables,53.14,10.35,91.26
